n,t,x,y,p
zombie0,10.5,13.92,-8.0,1000
zombie0,11.0,14.62,-8.0,1000
zombie0,11.3,15.0,-8.0,1000
zombie0,11.5,15.32,-8.0,1000
zombie0,11.99,16.0,-8.0,1000
zombie0,12.0,16.02,-8.0,1000
zombie0,12.5,16.72,-8.0,1000
zombie0,12.7,17.0,-8.0,1000
zombie0,13.0,17.42,-8.0,1000
zombie0,13.41,18.0,-8.0,1000
zombie0,13.5,18.12,-8.0,1000
zombie0,14.0,18.82,-8.0,1000
zombie0,14.5,19.52,-8.0,1000
zombie0,14.8,20.0,-8.0,1000
zombie0,15.0,20.22,-8.0,1000
zombie0,15.5,20.92,-8.0,1000
zombie0,16.0,21.62,-8.0,1000
zombie0,16.3,22.0,-8.0,1000
zombie0,16.5,22.32,-8.0,1000
zombie0,16.99,23.0,-8.0,1000
zombie0,17.0,23.02,-8.0,1000
zombie0,17.5,23.72,-8.0,1000
zombie0,17.7,24.0,-8.0,1000
zombie0,18.0,24.42,-8.0,1000
zombie0,18.5,24.5,-8.0,1000
zombie1,10.46,14.0,-5.0,1000
zombie1,10.5,14.06,-5.0,1000
zombie1,11.0,14.76,-5.0,1000
zombie1,11.2,15.0,-5.0,1000
zombie1,11.5,15.46,-5.0,1000
zombie1,11.89,16.0,-5.0,1000
zombie1,12.0,16.16,-5.0,1000
zombie1,12.5,16.86,-5.0,1000
zombie1,13.0,17.56,-5.0,1000
zombie1,13.3,18.0,-5.0,1000
zombie1,13.5,18.26,-5.0,1000
zombie1,14.0,18.96,-5.0,1000
zombie1,14.5,19.66,-5.0,1000
zombie1,14.7,20.0,-5.0,1000
zombie1,15.0,20.36,-5.0,1000
zombie1,15.46,21.0,-5.0,1000
zombie1,15.5,21.06,-5.0,1000
zombie1,16.0,21.76,-5.0,1000
zombie1,16.2,22.0,-5.0,1000
zombie1,16.5,22.46,-5.0,1000
zombie1,16.89,23.0,-5.0,1000
zombie1,17.0,23.11,-5.11,1000
zombie1,17.5,23.8,-5.8,1000
zombie1,17.7,24.0,-6.0,1000
zombie1,18.0,24.3,-6.3,1000
zombie1,18.5,24.35,-6.35,1000
zombie2,16.0,21.73,-3.73,1000
zombie2,16.3,22.0,-4.0,1000
zombie2,16.5,22.23,-4.23,1000
zombie2,17.0,22.92,-4.92,1000
zombie2,17.1,23.0,-5.0,1000
zombie2,17.5,23.41,-5.41,1000
zombie2,17.88,24.0,-6.0,1000
zombie2,18.0,24.1,-6.1,1000
zombie2,18.5,24.35,-6.35,1000
zombie3,11.0,13.78,-7.0,1000
zombie3,11.2,14.0,-7.0,1000
zombie3,11.5,14.48,-7.0,1000
zombie3,11.87,15.0,-7.0,1000
zombie3,12.0,15.18,-7.0,1000
zombie3,12.5,15.88,-7.0,1000
zombie3,13.0,16.58,-7.0,1000
zombie3,13.3,17.0,-7.0,1000
zombie3,13.5,17.28,-7.0,1000
zombie3,14.0,17.98,-7.0,1000
zombie3,14.5,18.68,-7.0,1000
zombie3,14.7,19.0,-7.0,1000
zombie3,15.0,19.38,-7.0,1000
zombie3,15.44,20.0,-7.0,1000
zombie3,15.5,20.08,-7.0,1000
zombie3,16.0,20.78,-7.0,1000
zombie3,16.2,21.0,-7.0,1000
zombie3,16.5,21.48,-7.0,1000
zombie3,16.87,22.0,-7.0,1000
zombie3,17.0,22.18,-7.0,1000
zombie3,17.5,22.88,-7.0,1000
zombie3,18.0,23.58,-7.0,1000
zombie3,18.3,24.0,-7.0,1000
zombie3,18.5,24.28,-7.0,1000
zombie3,19.0,24.5,-7.0,1000
zombie4,11.0,13.92,-10.0,1000
zombie4,11.5,14.62,-10.0,1000
zombie4,11.8,15.0,-10.0,1000
zombie4,12.0,15.32,-10.0,1000
zombie4,12.49,16.0,-10.0,1000
zombie4,12.5,16.02,-10.0,1000
zombie4,13.0,16.72,-10.0,1000
zombie4,13.2,17.0,-10.0,1000
