pop,awd,aws,att,et
100,27.11,1.23,22.63,37.0
100,26.43,1.25,21.63,37.0
100,27.05,1.2,23.27,38.0
100,26.92,1.22,22.79,38.0
100,26.22,1.26,21.23,37.0
200,27.46,1.16,24.69,50.0
200,27.59,1.2,23.89,52.0
200,27.99,1.16,25.19,52.0
200,27.71,1.17,24.73,54.5
200,28.1,1.15,25.69,50.5
300,28.13,1.13,26.09,63.5
300,28.38,1.15,26.0,63.5
300,28.28,1.15,25.84,64.5
300,27.04,1.2,23.39,67.5
300,28.15,1.15,25.82,63.5
400,28.92,1.12,27.23,78.0
400,29.09,1.11,27.9,79.0
400,29.93,1.1,29.01,79.0
400,28.46,1.16,25.82,79.5
400,28.54,1.12,26.82,77.0
500,28.81,1.12,27.16,89.0
500,30.78,1.05,31.6,89.5
500,29.53,1.1,28.66,90.0
500,29.4,1.11,28.42,90.5
500,29.77,1.1,29.22,91.5
600,29.97,1.08,29.58,99.5
600,31.07,1.05,32.19,100.5
600,29.25,1.09,28.59,101.5
600,28.09,1.14,25.7,104.5
600,29.15,1.11,27.89,101.5
700,30.63,1.06,31.23,112.5
700,28.9,1.11,27.61,115.0
700,30.19,1.08,30.04,115.5
700,27.9,1.16,25.14,118.0
700,30.34,1.08,30.42,113.5
800,31.08,1.04,32.37,121.5
800,29.78,1.08,29.33,126.0
800,28.27,1.14,25.92,128.0
800,30.02,1.07,29.91,129.0
800,30.94,1.06,31.41,125.0
900,30.45,1.06,30.66,135.5
900,29.9,1.08,29.59,138.5
900,29.51,1.09,28.79,139.5
900,28.64,1.12,27.02,144.0
900,29.89,1.08,29.58,136.0
1000,32.5,1.02,34.88,146.5
1000,30.15,1.08,29.93,147.0
1000,29.91,1.07,29.88,149.5
1000,28.32,1.15,25.67,155.0
1000,28.22,1.14,25.98,155.0
1100,32.08,1.03,34.14,155.5
1100,30.2,1.08,30.04,160.5
1100,29.75,1.09,29.11,163.5
1100,28.4,1.13,26.35,168.0
1100,29.94,1.07,29.68,161.0
1200,31.49,1.03,33.09,165.0
1200,31.95,1.02,34.02,168.5
1200,30.72,1.06,31.37,169.0
1200,29.99,1.08,29.87,172.5
1200,30.36,1.07,30.58,174.5
1300,32.84,1.01,35.54,177.5
1300,32.18,1.02,34.5,178.0
1300,30.21,1.07,30.28,181.0
1300,31.06,1.05,32.02,183.0
1300,28.34,1.14,26.01,196.5
1400,32.12,1.03,34.22,188.0
1400,30.65,1.06,31.12,194.5
1400,30.41,1.06,30.86,196.5
1400,30.37,1.06,30.7,197.5
1400,33.64,1.0,36.92,189.0
1500,30.68,1.05,31.47,204.5
1500,29.9,1.07,29.76,208.5
1500,29.8,1.08,29.41,211.0
1500,28.42,1.13,26.41,221.5
1500,32.56,1.01,35.14,197.0
1600,32.66,1.01,35.46,211.5
1600,31.14,1.04,32.28,215.0
1600,30.68,1.06,31.04,219.5
1600,28.47,1.13,26.27,232.5
1600,33.2,1.0,36.52,209.0
1700,33.21,1.0,36.32,222.5
1700,31.38,1.04,32.64,232.5
1700,28.37,1.14,26.07,247.0
1700,28.38,1.13,26.44,248.0
1700,32.65,1.01,35.18,223.0
1800,33.96,0.99,37.6,236.0
1800,30.42,1.06,30.96,238.5
1800,30.66,1.06,31.25,241.0
1800,31.31,1.04,32.49,243.5
1800,28.81,1.12,27.04,255.0
1900,30.84,1.05,31.78,248.0
1900,31.27,1.03,32.98,250.0
1900,30.79,1.06,31.29,251.0
1900,28.68,1.12,26.89,273.5
1900,34.37,0.99,38.73,240.5
2000,33.36,1.0,36.93,253.0
2000,30.78,1.05,31.55,258.5
2000,30.97,1.05,31.79,266.5
2000,28.9,1.11,27.44,283.0
2000,32.61,1.01,35.37,252.0
2100,34.25,0.98,38.58,262.0
2100,34.37,0.98,38.86,262.5
2100,30.98,1.04,32.01,276.0
2100,28.41,1.13,26.26,295.5
2100,30.56,1.06,30.93,275.5
2200,35.07,0.98,39.95,272.5
2300,35.25,0.97,40.12,282.5
2300,33.38,1.0,36.91,286.0
2300,31.7,1.03,33.43,294.0
2300,31.12,1.04,32.25,298.0
2300,30.87,1.05,31.75,297.5
2400,31.53,1.04,32.85,307.0
2400,30.87,1.05,31.73,308.0
2400,30.91,1.05,31.73,310.5
2400,29.14,1.1,27.87,325.5
2400,28.89,1.11,27.48,335.5
2500,33.69,0.98,37.61,305.5
2500,31.92,1.03,33.79,321.5
2500,30.07,1.07,29.92,325.0
2500,28.52,1.13,26.53,351.0
2500,28.53,1.12,26.67,344.5
2600,31.89,1.04,33.39,331.0
2600,31.65,1.04,33.07,333.5
2600,28.68,1.12,27.0,360.5
2600,28.64,1.11,27.1,360.5
2600,28.74,1.12,27.11,363.5
2700,35.52,0.96,41.17,328.0
2800,34.42,0.98,38.73,341.0
2800,31.54,1.03,33.22,353.0
2800,30.63,1.05,31.17,361.5
2800,29.0,1.11,27.69,380.5
2800,31.42,1.03,33.04,356.0
2900,31.48,1.03,33.1,362.5
2900,30.43,1.06,30.9,368.0
2900,28.86,1.11,27.46,397.5
2900,28.88,1.11,27.51,397.5
2900,31.6,1.03,33.15,363.5
3000,34.99,0.98,39.74,360.5
3000,34.56,0.98,39.15,362.5
3000,29.04,1.12,27.44,408.5
3000,28.61,1.12,26.87,410.0
3000,35.85,0.96,41.53,360.5
3100,35.45,0.97,40.71,368.5
3100,34.62,0.97,39.74,372.0
3100,31.29,1.04,32.61,392.5
3100,28.57,1.12,26.79,416.0
1000,25.08,1.13,22.82,125.0
1000,24.96,1.16,21.94,133.0
1000,16.89,1.13,15.24,126.0
1000,16.65,1.18,14.27,134.0
1000,17.61,1.16,15.71,132.0
1000,22.42,1.03,20.87,138.0
1000,11.34,1.01,11.26,134.5
1000,13.39,0.82,14.91,93.5
