n,t,x,y,p
zombie0,0.0,13.75,-9.75,100
zombie0,0.36,14.25,-9.75,100
zombie1,0.0,14.25,-7.75,100
zombie1,0.36,14.25,-8.25,100
zombie2,0.0,13.25,-8.25,100
zombie2,0.36,13.75,-8.25,100
zombie2,0.72,14.25,-8.25,100
zombie3,0.0,12.25,-7.75,100
zombie3,0.36,12.75,-8.25,100
zombie3,0.72,13.25,-8.25,100
zombie3,1.08,13.75,-8.25,100
zombie3,1.44,14.25,-8.25,100
zombie4,0.0,12.25,-9.75,100
zombie4,0.36,12.75,-9.25,100
zombie4,0.72,13.25,-9.25,100
zombie4,1.08,13.75,-9.75,100
zombie4,1.44,14.25,-9.75,100
zombie5,0.0,11.75,-7.75,100
zombie5,0.36,12.25,-8.25,100
zombie5,0.72,12.75,-7.75,100
zombie5,1.08,13.25,-7.75,100
zombie5,1.44,13.75,-7.75,100
zombie5,1.7999999999999998,14.25,-8.25,100
zombie6,0.0,11.25,-7.75,100
zombie6,0.36,11.75,-8.25,100
zombie6,0.72,12.25,-8.75,100
zombie6,1.08,12.75,-8.25,100
zombie6,1.44,13.25,-8.25,100
zombie6,1.7999999999999998,13.75,-8.25,100
zombie6,2.16,14.25,-8.25,100
zombie7,0.0,10.75,-8.75,100
zombie7,0.36,11.25,-8.25,100
zombie7,0.72,11.75,-8.75,100
zombie7,1.08,12.25,-9.25,100
zombie7,1.44,12.75,-9.25,100
zombie7,1.7999999999999998,13.25,-9.25,100
zombie7,2.16,13.75,-9.75,100
zombie7,2.52,14.25,-9.75,100
zombie8,0.0,10.25,-7.75,100
zombie8,0.36,10.75,-7.75,100
zombie8,0.72,11.25,-7.75,100
zombie8,1.08,11.75,-7.75,100
zombie8,1.44,12.25,-8.25,100
zombie8,1.7999999999999998,12.75,-8.25,100
zombie8,2.16,13.25,-8.25,100
zombie8,2.52,13.75,-8.25,100
zombie8,2.88,14.25,-8.25,100
zombie9,0.0,9.75,-8.75,100
zombie9,0.36,10.25,-9.25,100
zombie9,0.72,10.75,-8.75,100
zombie9,1.08,11.25,-8.25,100
zombie9,1.44,11.75,-8.25,100
zombie9,1.7999999999999998,12.25,-7.75,100
zombie9,2.16,12.75,-7.75,100
zombie9,2.52,13.25,-7.75,100
zombie9,2.88,13.75,-7.75,100
zombie9,3.2399999999999998,14.25,-8.25,100
zombie10,0.0,9.75,-9.75,100
zombie10,0.36,10.25,-9.75,100
zombie10,0.72,10.75,-9.75,100
zombie10,1.08,11.25,-9.75,100
zombie10,1.44,11.75,-9.25,100
zombie10,1.7999999999999998,12.25,-9.25,100
zombie10,2.16,12.75,-9.25,100
zombie10,2.52,13.25,-9.25,100
zombie10,2.88,13.75,-9.75,100
zombie10,3.2399999999999998,14.25,-9.25,100
zombie11,0.0,9.75,-7.75,100
zombie11,0.36,10.25,-8.25,100
zombie11,0.72,10.75,-8.25,100
zombie11,1.08,11.25,-8.75,100
zombie11,1.44,11.75,-8.75,100
zombie11,1.7999999999999998,12.25,-8.75,100
zombie11,2.16,12.75,-8.75,100
zombie11,2.52,13.25,-8.75,100
zombie11,2.88,13.75,-9.25,100
zombie11,3.2399999999999998,14.25,-9.75,100
zombie12,0.0,8.75,-7.75,100
zombie12,0.36,9.25,-7.75,100
zombie12,0.72,9.75,-7.75,100
zombie12,1.08,10.25,-8.25,100
zombie12,1.44,10.75,-7.75,100
zombie12,1.7999999999999998,11.25,-8.25,100
zombie12,2.16,11.75,-8.25,100
zombie12,2.52,12.25,-8.75,100
zombie12,2.88,12.75,-8.75,100
zombie12,3.2399999999999998,13.25,-9.25,100
zombie12,3.5999999999999996,13.75,-9.75,100
zombie12,3.96,14.25,-9.75,100
zombie13,0.0,8.75,-6.25,100
zombie13,0.36,9.25,-6.75,100
zombie13,0.72,9.75,-7.25,100
zombie13,1.08,10.25,-7.75,100
zombie13,1.44,10.75,-8.25,100
zombie13,1.7999999999999998,11.25,-7.75,100
zombie13,2.16,11.75,-7.75,100
zombie13,2.52,12.25,-8.25,100
zombie13,2.88,12.75,-8.25,100
zombie13,3.2399999999999998,13.25,-8.25,100
zombie13,3.5999999999999996,13.75,-8.25,100
zombie13,3.96,14.25,-8.25,100
zombie14,0.0,8.25,-8.25,100
zombie14,0.36,8.75,-8.75,100
zombie14,0.72,9.25,-8.75,100
zombie14,1.08,9.75,-8.25,100
zombie14,1.44,10.25,-8.75,100
zombie14,1.7999999999999998,10.75,-9.25,100
zombie14,2.16,11.25,-9.25,100
zombie14,2.52,11.75,-8.75,100
zombie14,2.88,12.25,-9.25,100
zombie14,3.2399999999999998,12.75,-9.25,100
zombie14,3.5999999999999996,13.25,-9.75,100
zombie14,3.96,13.75,-9.25,100
zombie14,4.32,14.25,-9.75,100
zombie15,0.0,9.75,-6.25,100
zombie15,0.36,9.75,-6.75,100
zombie15,0.72,10.25,-7.25,100
zombie15,1.08,10.25,-6.75,100
zombie15,1.44,10.25,-7.25,100
zombie15,1.7999999999999998,10.25,-7.75,100
zombie15,2.16,10.75,-7.75,100
zombie15,2.52,11.25,-8.25,100
zombie15,2.88,11.75,-8.25,100
zombie15,3.2399999999999998,12.25,-8.75,100
zombie15,3.5999999999999996,12.75,-8.25,100
zombie15,3.96,13.25,-8.25,100
zombie15,4.32,13.75,-8.25,100
zombie15,4.68,14.25,-8.25,100
zombie16,0.0,7.25,-7.75,100
zombie16,0.36,7.75,-8.25,100
zombie16,0.72,8.25,-8.75,100
zombie16,1.08,8.75,-8.25,100
zombie16,1.44,9.25,-8.25,100
zombie16,1.7999999999999998,9.75,-7.75,100
